radius , position_x , position_y , color , información,	id (numero del nodo) , capacidad máxima [kg] , capacidad actual , pos x text, pos y text	
30 , 742.1 , 1770 , red , Nodo 1 , 1 , 450 , 200 , 773 , 1780
30 , 728.1 , 1758 , yellow , Nodo 2, 2 , 450 , 300 , 556 , 1700
30 , 1459 , 2733 , red , Nodo 3, 3 , 450 , 300 , 1488 , 2733  
30 , 1454 , 2741 , yellow , Nodo 4, 4 , 450 , 200 , 1458 , 2769
30 , 2156 , 2523 , yellow , Nodo 5, 5 , 450 , 100 , 2185 , 2510  
30 , 2154 , 2526 , red , Nodo 6, 6 , 450 , 0 , 2156, 2556  
30 , 2237 , 3234 , orange , Nodo 7, 7 , 450 , 0 , 2221, 3150  
30 , 2242 , 3235 , yellow , Nodo 8, 8 , 450 , 0 , 2270, 3237  
30 , 2375 , 3431 , orange , Nodo 9, 9 , 450 , 0 , 2400 , 3441  
30 , 2454 , 3570 , yellow , Nodo 10, 10 , 450 , 0 , 2446, 3500  
30 , 2466 , 3574 , yellow , Nodo 11, 11 , 450 , 0 , 2490, 3570  
30 , 2449 , 3576 , red , Nodo 12, 12 , 450 , 277 , 2299, 3510  
30 , 2458 , 3579 , red , Nodo 13, 13 , 450 , 0 , 2441 , 3606  
30 , 2950 , 3283 , yellow , Nodo 14, 14 , 450 , 0 , 2976, 3275  
30 , 2945 , 3302 , red , Nodo 15, 15 , 450 , 0 , 2962 , 3322  
30 , 3531 , 2520 , red , Nodo 16, 16 , 450 , 0 , 3559 , 2515  
30 , 3526 , 2526 , orange , Nodo 17, 17 , 450 , 0 , 3535 , 2550  
30 , 3309 , 2353 , yellow , Nodo 18, 18 , 450 , 0 , 3344 , 2322  
30 , 3301 , 2357 , red , Nodo 19, 19 , 450 , 0 , 3337 , 2360  
30 , 3298 , 2361 , yellow , Nodo 20, 20 , 450 , 0 , 3269, 2393  
30 , 3125 , 1571 , red , Nodo 21 , 21 , 450 , 0 , 3160 , 1561  

30 , 3114 , 1570 , yellow , Nodo 22, 22 , 450 , 0 , 3100 , 1600  

30 , 3321 , 1327 , orange , Nodo 23, 23 , 450 , 0 , 3350, 1280  

30 , 2686 , 361 , blue , Nodo 24, 24 , 450 , 0 , 2717 , 337  
