Flat profile:

Each sample counts as 0.01 seconds.
 no time accumulated

  %   cumulative   self              self     total           
 time   seconds   seconds    calls  Ts/call  Ts/call  name    
  0.00      0.00     0.00     9240     0.00     0.00  __gnu_cxx::__normal_iterator<sf::Vertex const*, std::vector<sf::Vertex, std::allocator<sf::Vertex> > >::base() const
  0.00      0.00     0.00     4672     0.00     0.00  operator new(unsigned long, void*)
  0.00      0.00     0.00     4524     0.00     0.00  bool __gnu_cxx::operator!=<sf::Vertex const*, std::vector<sf::Vertex, std::allocator<sf::Vertex> > >(__gnu_cxx::__normal_iterator<sf::Vertex const*, std::vector<sf::Vertex, std::allocator<sf::Vertex> > > const&, __gnu_cxx::__normal_iterator<sf::Vertex const*, std::vector<sf::Vertex, std::allocator<sf::Vertex> > > const&)
  0.00      0.00     0.00     4016     0.00     0.00  __gnu_cxx::__normal_iterator<sf::Vertex const*, std::vector<sf::Vertex, std::allocator<sf::Vertex> > >::operator++()
  0.00      0.00     0.00     4016     0.00     0.00  __gnu_cxx::__normal_iterator<sf::Vertex const*, std::vector<sf::Vertex, std::allocator<sf::Vertex> > >::operator*() const
  0.00      0.00     0.00     4016     0.00     0.00  void std::_Construct<sf::Vertex, sf::Vertex const&>(sf::Vertex*, sf::Vertex const&)
  0.00      0.00     0.00     4016     0.00     0.00  sf::Vertex* std::__addressof<sf::Vertex>(sf::Vertex&)
  0.00      0.00     0.00     4016     0.00     0.00  sf::Vertex const& std::forward<sf::Vertex const&>(std::remove_reference<sf::Vertex const&>::type&)
  0.00      0.00     0.00     3288     0.00     0.00  __gnu_cxx::__normal_iterator<char*, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >::base() const
  0.00      0.00     0.00     1554     0.00     0.00  boost::algorithm::detail::is_classifiedF::~is_classifiedF()
  0.00      0.00     0.00     1295     0.00     0.00  boost::algorithm::detail::is_classifiedF::is_classifiedF(boost::algorithm::detail::is_classifiedF const&)
  0.00      0.00     0.00     1248     0.00     0.00  std::_Vector_base<sf::Vertex, std::allocator<sf::Vertex> >::_M_get_Tp_allocator()
  0.00      0.00     0.00     1217     0.00     0.00  __gnu_cxx::__normal_iterator<char*, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >::operator*() const
  0.00      0.00     0.00     1208     0.00     0.00  __gnu_cxx::new_allocator<sf::Vertex>::new_allocator(__gnu_cxx::new_allocator<sf::Vertex> const&)
  0.00      0.00     0.00     1208     0.00     0.00  __gnu_cxx::__normal_iterator<sf::Vertex const*, std::vector<sf::Vertex, std::allocator<sf::Vertex> > >::__normal_iterator(sf::Vertex const* const&)
  0.00      0.00     0.00     1208     0.00     0.00  std::allocator<sf::Vertex>::allocator(std::allocator<sf::Vertex> const&)
  0.00      0.00     0.00     1126     0.00     0.00  bool __gnu_cxx::operator!=<char*, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >(__gnu_cxx::__normal_iterator<char*, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > > const&, __gnu_cxx::__normal_iterator<char*, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > > const&)
  0.00      0.00     0.00     1056     0.00     0.00  __gnu_cxx::new_allocator<sf::Vertex>::~new_allocator()
  0.00      0.00     0.00     1056     0.00     0.00  std::allocator<sf::Vertex>::~allocator()
  0.00      0.00     0.00     1036     0.00     0.00  __gnu_cxx::__normal_iterator<char const*, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >::__normal_iterator<char*>(__gnu_cxx::__normal_iterator<char*, __gnu_cxx::__enable_if<std::__are_same<char*, char*>::__value, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >::__type> const&)
  0.00      0.00     0.00      987     0.00     0.00  bool boost::algorithm::detail::is_classifiedF::operator()<char>(char) const
  0.00      0.00     0.00      987     0.00     0.00  std::ctype<char>::is(unsigned short, char) const
  0.00      0.00     0.00      925     0.00     0.00  double& arma::access::rw<double>(double const&)
  0.00      0.00     0.00      831     0.00     0.00  std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >* std::__addressof<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >&)
  0.00      0.00     0.00      801     0.00     0.00  boost::range_iterator<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, void>::type boost::range_detail::range_begin<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >&)
  0.00      0.00     0.00      801     0.00     0.00  boost::range_iterator<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, void>::type boost::range_detail::range_end<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >&)
  0.00      0.00     0.00      801     0.00     0.00  boost::range_iterator<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, void>::type boost::range_adl_barrier::end<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >&)
  0.00      0.00     0.00      801     0.00     0.00  boost::range_iterator<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, void>::type boost::range_adl_barrier::begin<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >&)
  0.00      0.00     0.00      796     0.00     0.00  std::_Vector_base<sf::Vertex, std::allocator<sf::Vertex> >::_Vector_impl_data::_Vector_impl_data()
  0.00      0.00     0.00      785     0.00     0.00  std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const& std::forward<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&>(std::remove_reference<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&>::type&)
  0.00      0.00     0.00      762     0.00     0.00  sf::Drawable::Drawable(sf::Drawable const&)
  0.00      0.00     0.00      719     0.00     0.00  __gnu_cxx::__normal_iterator<char*, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >::operator++()
  0.00      0.00     0.00      700     0.00     0.00  std::vector<sf::Vertex, std::allocator<sf::Vertex> >::size() const
  0.00      0.00     0.00      641     0.00     0.00  void arma::arma_check_bounds<char [37]>(bool, char const (&) [37])
  0.00      0.00     0.00      624     0.00     0.00  std::__detail::_Mod<unsigned long, 4294967296ul, 1ul, 0ul, true, true>::__calc(unsigned long)
  0.00      0.00     0.00      624     0.00     0.00  unsigned long std::__detail::__mod<unsigned long, 4294967296ul, 1ul, 0ul>(unsigned long)
  0.00      0.00     0.00      623     0.00     0.00  std::__detail::_Mod<unsigned long, 624ul, 1ul, 0ul, true, true>::__calc(unsigned long)
  0.00      0.00     0.00      623     0.00     0.00  unsigned long std::__detail::__mod<unsigned long, 624ul, 1ul, 0ul>(unsigned long)
  0.00      0.00     0.00      604     0.00     0.00  std::_Vector_base<sf::Vertex, std::allocator<sf::Vertex> >::_M_get_Tp_allocator() const
  0.00      0.00     0.00      604     0.00     0.00  std::vector<sf::Vertex, std::allocator<sf::Vertex> >::end() const
  0.00      0.00     0.00      604     0.00     0.00  std::vector<sf::Vertex, std::allocator<sf::Vertex> >::begin() const
  0.00      0.00     0.00      604     0.00     0.00  std::_Vector_base<sf::Vertex, std::allocator<sf::Vertex> >::_Vector_impl::_Vector_impl(std::allocator<sf::Vertex> const&)
  0.00      0.00     0.00      576     0.00     0.00  std::_Vector_base<sf::Vertex, std::allocator<sf::Vertex> >::_Vector_impl_data::_M_copy_data(std::_Vector_base<sf::Vertex, std::allocator<sf::Vertex> >::_Vector_impl_data const&)
  0.00      0.00     0.00      574     0.00     0.00  __gnu_cxx::__normal_iterator<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const*, std::vector<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::allocator<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > > > >::base() const
  0.00      0.00     0.00      536     0.00     0.00  sf::Drawable::~Drawable()
  0.00      0.00     0.00      518     0.00     0.00  void std::_Destroy<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >*)
  0.00      0.00     0.00      508     0.00     0.00  sf::VertexArray::VertexArray(sf::VertexArray const&)
  0.00      0.00     0.00      508     0.00     0.00  __gnu_cxx::__alloc_traits<std::allocator<sf::Vertex>, sf::Vertex>::_S_select_on_copy(std::allocator<sf::Vertex> const&)
  0.00      0.00     0.00      508     0.00     0.00  std::_Vector_base<sf::Vertex, std::allocator<sf::Vertex> >::_M_allocate(unsigned long)
  0.00      0.00     0.00      508     0.00     0.00  std::_Vector_base<sf::Vertex, std::allocator<sf::Vertex> >::_M_create_storage(unsigned long)
  0.00      0.00     0.00      508     0.00     0.00  std::_Vector_base<sf::Vertex, std::allocator<sf::Vertex> >::_Vector_base(unsigned long, std::allocator<sf::Vertex> const&)
  0.00      0.00     0.00      508     0.00     0.00  std::allocator_traits<std::allocator<sf::Vertex> >::select_on_container_copy_construction(std::allocator<sf::Vertex> const&)
  0.00      0.00     0.00      508     0.00     0.00  sf::Vertex* std::__uninitialized_copy<false>::__uninit_copy<__gnu_cxx::__normal_iterator<sf::Vertex const*, std::vector<sf::Vertex, std::allocator<sf::Vertex> > >, sf::Vertex*>(__gnu_cxx::__normal_iterator<sf::Vertex const*, std::vector<sf::Vertex, std::allocator<sf::Vertex> > >, __gnu_cxx::__normal_iterator<sf::Vertex const*, std::vector<sf::Vertex, std::allocator<sf::Vertex> > >, sf::Vertex*)
  0.00      0.00     0.00      508     0.00     0.00  std::vector<sf::Vertex, std::allocator<sf::Vertex> >::vector(std::vector<sf::Vertex, std::allocator<sf::Vertex> > const&)
