agente rol prob actividad
32 0 0.0398722 1
0 0 0.0398722 1
64 0 0.542366 2
80 0 0.754705 1
16 0 0.754705 1
48 0 0.754705 1
33 0 0.129174 0
1 0 0.310776 1
81 0 0.328054 2
17 0 0.568129 1
65 0 0.620099 2
49 0 0.198761 2
34 0 0.365481 1
2 0 0.653047 0
66 0 0.0343169 1
18 0 0.475649 2
82 0 0.371772 1
50 0 0.86089 1
35 0 0.778979 2
3 0 0.845123 1
67 0 0.819339 1
19 0 0.683321 1
83 0 0.383336 1
51 0 0.621272 0
36 0 0.304542 2
20 2 0.977931 1
4 0 0.55625 1
37 2 0.996022 1
68 0 0.343793 1
52 0 0.634479 0
84 1 0.946002 1
5 0 0.797612 1
21 1 0.913929 1
38 0 0.347664 1
69 0 0.0371438 1
53 0 0.745085 1
85 1 0.946941 1
6 0 0.337409 0
22 0 0.489165 1
39 0 0.391178 1
70 0 0.0581469 1
54 0 0.42207 0
86 0 7 0 0.837450.574833 2 1
86 0 7 0 0.837450.574833 2 1
23 0 0.483229 1
40 0 0.629399 2
71 0 0.143245 2
55 0 0.0438126 1
8 0 0.407683 1
87 0 0.679637 0
24 0 0.0445209 2
41 0 0.845087 2
72 0 0.384377 1
56 0 0.897484 1
9 0 0.178283 1
88 1 0.944478 1
57 2 0.977302 1
25 0 0.642423 2
42 0 0.792178 0
73 0 0.491599 2
89 0 0.782299 2
10 0 0.0958454 2
58 0 0.339286 1
26 0 0.509799 0
43 0 0.473302 1
74 0 0.24949 2
90 0 0.49627 2
11 0 0.440374 0
59 0 0.0648633 1
27 0 0.108664 2
44 0 0.821373 1
75 0 0.845962 0
91 0 0.188706 0
60 0 0.791348 0
60 0 0.791348 0
12 0 0.846592 2
28 0 0.719709 0
45 0 0.219016 2
76 0 0.432401 1
61 2 0.955721 1
92 0 0.580037 1
13 0 0.893983 1
29 0 0.631882 1
46 0 0.683227 0
77 0 0.211305 1
62 0 0.873578 0
93 0 0.58395 1
14 0 0.50338 1
30 0 0.112112 0
78 0 0.445328 2
47 0 0.00150694 2
63 0 0.431809 1
94 0 0.536776 1
15 0 0.624757 0
31 0 0.494337 2
79 0 0.214829 0
95 2 0.960985 2
96 0 0.142006 2
97 0 0.757794 2
98 0 0.167296 1
99 0 0.298934 0
